167,穿越时空的少女,216404,8.6
168,冰川时代,325917,8.5
169,我是山姆,127434,8.8
170,猜火车,280838,8.5
171,人工智能,225094,8.6
172,头脑特工队,283941,8.7
173,被解救的姜戈,305484,8.6
174,爆裂鼓手,281655,8.6
176,罗生门,151589,8.7
177,你的名字。,604912,8.4
178,浪潮,154525,8.7
179,无敌破坏王,245183,8.7
180,香水,320730,8.4
181,阿飞正传,251122,8.5
182,朗读者,308197,8.5
183,房间,192423,8.8
184,恐怖游轮,390066,8.4
185,模仿游戏,306035,8.6
186,可可西里,151799,8.7
187,一个叫欧维的男人决定去死,156956,8.8
188,忠犬八公物语,77334,9.1
189,魔女宅急便,234529,8.5
190,一次别离,152126,8.7
191,战争之王,199244,8.6
192,哪吒闹海,100641,8.9
193,完美陌生人,258442,8.6
194,谍影重重,227103,8.5
195,追随,95306,8.9
196,牯岭街少年杀人事件,127829,8.8
197,地球上的星星,101723,8.9
198,谍影重重2,189167,8.6
199,撞车,198105,8.6
200,黑客帝国3：矩阵革命,187981,8.6
201,惊魂记,101696,8.9
202,青蛇,264586,8.5
203,梦之安魂曲,129197,8.7
204,海街日记,171454,8.7
205,小萝莉的猴神大叔,213111,8.5
206,再次出发之纽约遇见你,208280,8.5
207,新龙门客栈,221044,8.5
208,步履不停,109691,8.8
209,源代码,464141,8.4
210,东京物语,61876,9.2
211,终结者2：审判日,167148,8.6
212,初恋这件小事,542187,8.3
213,疯狂的石头,378355,8.3
214,城市之光,54704,9.2
215,绿里奇迹,125349,8.7
216,爱在午夜降临前,139923,8.8
217,无耻混蛋,257351,8.5
218,末路狂花,121557,8.7
219,秒速5厘米,356136,8.3
220,这个男人来自地球,213297,8.5
221,勇闯夺命岛,162153,8.6
222,E.T. 外星人,181453,8.5
223,变脸,243966,8.4
224,碧海蓝天,115996,8.7
225,彗星来的那一夜,224773,8.4
226,卡萨布兰卡,142594,8.6
227,黄金三镖客,61219,9.1
228,发条橙,210678,8.5
229,聚焦,151148,8.8
230,血钻,160571,8.6
231,美国丽人,211782,8.5
232,海盗电台,181976,8.6
233,国王的演讲,389228,8.3
234,非常嫌疑犯,138693,8.6
235,荒野生存,145834,8.6
236,黑鹰坠落,140688,8.6
237,我爱你,70499,9.0
238,英国病人,193553,8.5
239,千钧一发,107286,8.7
240,遗愿清单,156054,8.5
241,2001太空漫游,115132,8.7
242,荒岛余生,159447,8.5
243,迁徙的鸟,56909,9.1
244,勇士,98099,8.9
245,枪火,116049,8.7
246,燕尾蝶,116884,8.6
247,叫我第一名,122345,8.6
248,海蒂和爷爷,66379,9.0
249,穆赫兰道,265462,8.3
250,大卫·戈尔的一生,113272,8.6
